project,grass-harvest-g,needle-harvest-g,oak-harvest-g,grass-ocular,needle-ocular,oak-ocular
Patch ,201,297.53,,4,3,
Patch ,186.41,299.99,,3,2,
Patch ,108.78,224.38,,2,3,
Patch ,51.75,210.07,,1,2,
Patch ,66.04,196.05,,1,2,
Patch ,54.21,206.84,,2,3,
Patch ,105.51,137.08,,3,2,
Patch ,108.56,143.7,,3,2,
Patch ,11.82,143.8,,1,2,
Patch ,135.92,129.34,,2,2,
Patch ,137.78,141.78,,2,2,
Patch ,51.14,81.61,,1,1,
Patch ,297.96,53.45,,3,1,
